Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date,Host_Country,Innings_Team1,Innings_Team2
ODI # 290,Sri Lanka,West Indies,West Indies,65 runs,Sydney,17-Jan-85,Australia,First,Second
ODI # 291,Australia,Sri Lanka,Sri Lanka,4 wickets,Melbourne,19-Jan-85,Australia,First,Second
ODI # 292,Australia,West Indies,West Indies,65 runs,Melbourne,20-Jan-85,Australia,Second,First
ODI # 293,India,England,England,3 wickets,Bengaluru,20-Jan-85,Australia,Second,First
ODI # 294,Australia,Sri Lanka,Australia,3 wickets,Sydney,23-Jan-85,Australia,First,Second
ODI # 295,India,England,India,3 wickets,Nagpur,23-Jan-85,Australia,Second,First
ODI # 296,Sri Lanka,West Indies,West Indies,8 wickets,Adelaide,26-Jan-85,Australia,Second,First
ODI # 297,Australia,West Indies,West Indies,6 wickets,Adelaide,27-Jan-85,Australia,First,Second
ODI # 298,India,England,England,7 runs,Chandigarh,27-Jan-85,Australia,Second,First
ODI # 299,Australia,Sri Lanka,Australia,232 runs,Adelaide,28-Jan-85,Australia,First,Second
ODI # 300,Sri Lanka,West Indies,West Indies,82 runs,Perth,2-Feb-85,Australia,Second,First
ODI # 301,Australia,Sri Lanka,Australia,9 wickets,Perth,3-Feb-85,Australia,Second,First
ODI # 302,New Zealand,Pakistan,New Zealand,13 runs,Christchurch,6-Feb-85,Australia,First,Second
ODI # 303,Australia,West Indies,Australia,26 runs,Sydney,6-Feb-85,Australia,Second,First
ODI # 304,Australia,West Indies,West Indies,4 wickets,Melbourne,10-Feb-85,West Indies,First,Second
ODI # 305,Australia,West Indies,West Indies,7 wickets,Sydney,12-Feb-85,U.A.E.,First,Second
ODI # 306,New Zealand,Pakistan,no result,,Auckland,"Feb 16-17, 1985",U.A.E.,Second,First
ODI # 307,Australia,England,Australia,7 wickets,Melbourne,17-Feb-85,U.A.E.,Second,First
ODI # 308,New Zealand,West Indies,no result,,Sydney,"Feb 19-21, 1985",West Indies,Second,First
ODI # 309,India,Pakistan,India,6 wickets,Melbourne,20-Feb-85,U.A.E.,First,Second
ODI # 310,New Zealand,Sri Lanka,New Zealand,51 runs,Melbourne,23-Feb-85,West Indies,First,Second
ODI # 311,Australia,Pakistan,Pakistan,62 runs,Melbourne,24-Feb-85,West Indies,Second,First
ODI # 312,England,India,India,86 runs,Sydney,26-Feb-85,West Indies,First,Second
ODI # 313,Sri Lanka,West Indies,West Indies,8 wickets,Melbourne,27-Feb-85,England,First,Second
ODI # 314,England,Pakistan,Pakistan,67 runs,Melbourne,2-Mar-85,England,First,Second
ODI # 315,Australia,India,India,8 wickets,Melbourne,3-Mar-85,England,Second,First
ODI # 316,India,New Zealand,India,7 wickets,Sydney,5-Mar-85,Sri Lanka,First,Second
ODI # 317,Pakistan,West Indies,Pakistan,7 wickets,Melbourne,6-Mar-85,Sri Lanka,First,Second
ODI # 318,New Zealand,West Indies,West Indies,6 wickets,Sydney,9-Mar-85,Pakistan,Second,First
ODI # 319,India,Pakistan,India,8 wickets,Melbourne,10-Mar-85,Pakistan,First,Second
ODI # 320,West Indies,New Zealand,West Indies,23 runs,St John's,20-Mar-85,Pakistan,Second,First
ODI # 321,India,Pakistan,India,38 runs,Sharjah,22-Mar-85,India,First,Second
ODI # 322,Australia,England,Australia,2 wickets,Sharjah,24-Mar-85,U.A.E.,First,Second
ODI # 323,England,Pakistan,Pakistan,43 runs,Sharjah,26-Mar-85,U.A.E.,Second,First
ODI # 324,West Indies,New Zealand,West Indies,6 wickets,Port of Spain,27-Mar-85,U.A.E.,First,Second
ODI # 325,Australia,India,India,3 wickets,Sharjah,29-Mar-85,Pakistan,First,Second
ODI # 326,West Indies,New Zealand,West Indies,130 runs,Albion,14-Apr-85,Pakistan,Second,First
ODI # 327,West Indies,New Zealand,West Indies,10 wickets,Port of Spain,17-Apr-85,Pakistan,Second,First
ODI # 328,West Indies,New Zealand,West Indies,112 runs,Bridgetown,23-Apr-85,Pakistan,Second,First
ODI # 329,England,Australia,Australia,3 wickets,Manchester,30-May-85,Pakistan,First,Second
ODI # 330,England,Australia,Australia,4 wickets,Birmingham,1-Jun-85,Australia,Second,First
ODI # 331,England,Australia,England,8 wickets,Lord's,3-Jun-85,Australia,Second,First
ODI # 332,Sri Lanka,India,India,2 wickets,Colombo (SSC),25-Aug-85,Australia,Second,First
ODI # 333,Sri Lanka,India,Sri Lanka,14 runs,Colombo (PSS),21-Sep-85,Australia,First,Second
ODI # 334,Sri Lanka,India,no result,,Colombo (PSS),22-Sep-85,Australia,First,Second
ODI # 335,Pakistan,Sri Lanka,Pakistan,8 wickets,Peshawar,13-Oct-85,Australia,Second,First
ODI # 336,Pakistan,Sri Lanka,Pakistan,15 runs,Gujranwala,23-Oct-85,Australia,First,Second
ODI # 337,Pakistan,Sri Lanka,Pakistan,5 wickets,Lahore,25-Oct-85,Australia,First,Second
ODI # 338,Pakistan,Sri Lanka,Pakistan,89 runs,Hyderabad (Sind),3-Nov-85,Australia,Second,First
ODI # 339,Pakistan,West Indies,West Indies,7 wickets,Sharjah,15-Nov-85,Australia,First,Second
ODI # 340,India,Pakistan,Pakistan,48 runs,Sharjah,17-Nov-85,Australia,Second,First
ODI # 341,India,West Indies,West Indies,8 wickets,Sharjah,22-Nov-85,Australia,First,Second
ODI # 342,Pakistan,West Indies,West Indies,8 wickets,Gujranwala,27-Nov-85,Australia,First,Second
ODI # 343,Pakistan,West Indies,Pakistan,6 wickets,Lahore,29-Nov-85,Australia,First,Second
ODI # 344,Pakistan,West Indies,West Indies,40 runs,Peshawar,2-Dec-85,Australia,First,Second
ODI # 345,Pakistan,West Indies,Pakistan,5 wickets,Rawalpindi,4-Dec-85,Australia,Second,First
ODI # 346,Pakistan,West Indies,West Indies,8 wickets,Karachi,6-Dec-85,West Indies,Second,First
ODI # 347,Australia,New Zealand,no result,,Melbourne,9-Jan-86,Sri Lanka,First,Second
ODI # 348,India,New Zealand,India,5 wickets,Brisbane,11-Jan-86,West Indies,First,Second
ODI # 349,Australia,India,Australia,4 wickets,Brisbane,12-Jan-86,Sri Lanka,First,Second
ODI # 350,Australia,New Zealand,Australia,4 wickets,Sydney,14-Jan-86,New Zealand,First,Second
ODI # 351,Australia,India,India,8 wickets,Melbourne,16-Jan-86,West Indies,First,Second
ODI # 352,India,New Zealand,New Zealand,3 wickets,Perth,18-Jan-86,New Zealand,First,Second
ODI # 353,Australia,New Zealand,Australia,4 wickets,Perth,19-Jan-86,New Zealand,First,Second
ODI # 354,Australia,India,Australia,100 runs,Sydney,21-Jan-86,New Zealand,Second,First
ODI # 355,India,New Zealand,New Zealand,5 wickets,Melbourne,23-Jan-86,Sri Lanka,Second,First
ODI # 356,India,New Zealand,India,5 wickets,Adelaide,25-Jan-86,Sri Lanka,First,Second
ODI # 357,Australia,India,Australia,36 runs,Adelaide,26-Jan-86,West Indies,Second,First
ODI # 358,Australia,New Zealand,New Zealand,206 runs,Adelaide,27-Jan-86,Sri Lanka,Second,First
ODI # 359,Australia,New Zealand,Australia,99 runs,Sydney,29-Jan-86,Sri Lanka,First,Second
ODI # 360,Australia,India,India,6 wickets,Melbourne,31-Jan-86,Sri Lanka,Second,First
ODI # 361,India,New Zealand,India,22 runs,Launceston,2-Feb-86,Sri Lanka,First,Second
ODI # 362,Australia,India,Australia,11 runs,Sydney,5-Feb-86,U.A.E.,Second,First
ODI # 363,Australia,India,Australia,7 wickets,Melbourne,9-Feb-86,U.A.E.,First,Second
ODI # 364,West Indies,England,West Indies,6 wickets,Kingston,18-Feb-86,U.A.E.,Second,First
ODI # 365,Sri Lanka,Pakistan,Pakistan,8 wickets,Kandy,2-Mar-86,U.A.E.,First,Second
ODI # 366,West Indies,England,England,5 wickets,Port of Spain,4-Mar-86,U.A.E.,First,Second
ODI # 367,Sri Lanka,Pakistan,no result,,Moratuwa,8-Mar-86,England,First,Second
ODI # 368,Sri Lanka,Pakistan,Pakistan,8 wickets,Colombo (SSC),11-Mar-86,England,Second,First
ODI # 369,New Zealand,Australia,New Zealand,30 runs,Dunedin,19-Mar-86,England,Second,First
ODI # 370,West Indies,England,West Indies,135 runs,Bridgetown,19-Mar-86,England,Second,First
ODI # 371,New Zealand,Australia,New Zealand,53 runs,Christchurch,22-Mar-86,India,Second,First
ODI # 372,New Zealand,Australia,Australia,3 wickets,Wellington,26-Mar-86,India,First,Second
ODI # 373,New Zealand,Australia,Australia,44 runs,Auckland,29-Mar-86,India,Second,First
ODI # 374,Sri Lanka,Pakistan,Pakistan,81 runs,Colombo (PSS),30-Mar-86,India,First,Second
ODI # 375,Bangladesh,Pakistan,Pakistan,7 wickets,Moratuwa,31-Mar-86,India,First,Second
ODI # 376,West Indies,England,West Indies,8 wickets,Port of Spain,31-Mar-86,Pakistan,First,Second
ODI # 377,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Kandy,2-Apr-86,Pakistan,Second,First
ODI # 378,Sri Lanka,New Zealand,New Zealand,6 wickets,Colombo (RPS),5-Apr-86,Pakistan,First,Second
ODI # 379,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Colombo (SSC),6-Apr-86,Pakistan,Second,First
ODI # 380,New Zealand,Pakistan,Pakistan,4 wickets,Colombo (SSC),7-Apr-86,India,First,Second
ODI # 381,India,New Zealand,India,3 wickets,Sharjah,10-Apr-86,U.A.E.,Second,First
ODI # 382,Australia,Pakistan,Pakistan,8 wickets,Sharjah,11-Apr-86,U.A.E.,First,Second
ODI # 383,India,Sri Lanka,India,3 wickets,Sharjah,13-Apr-86,U.A.E.,Second,First
ODI # 384,New Zealand,Pakistan,Pakistan,10 wickets,Sharjah,15-Apr-86,U.A.E.,Second,First
ODI # 385,India,Pakistan,Pakistan,1 wicket,Sharjah,18-Apr-86,U.A.E.,Second,First
ODI # 386,England,India,India,9 wickets,The Oval,24-May-86,U.A.E.,First,Second
ODI # 387,England,India,England,5 wickets,Manchester,26-May-86,India,Second,First
ODI # 388,England,New Zealand,New Zealand,47 runs,Leeds,16-Jul-86,Australia,First,Second
ODI # 389,England,New Zealand,England,6 wickets,Manchester,18-Jul-86,Australia,Second,First
ODI # 390,India,Australia,India,7 wickets,Jaipur,7-Sep-86,Australia,First,Second
ODI # 391,India,Australia,Australia,3 wickets,Srinagar,9-Sep-86,Australia,First,Second
ODI # 392,India,Australia,no result,,Hyderabad (Deccan),24-Sep-86,Australia,Second,First
ODI # 393,India,Australia,India,3 wickets,Delhi,2-Oct-86,Australia,Second,First
ODI # 394,India,Australia,India,52 runs,Ahmedabad,5-Oct-86,Australia,Second,First
ODI # 395,India,Australia,Australia,7 wickets,Rajkot,7-Oct-86,India,Second,First
ODI # 396,Pakistan,West Indies,West Indies,4 wickets,Peshawar,17-Oct-86,India,Second,First
ODI # 397,Pakistan,West Indies,West Indies,17 runs,Gujranwala,4-Nov-86,India,First,Second
ODI # 398,Pakistan,West Indies,West Indies,4 wickets,Sialkot,14-Nov-86,Australia,Second,First
ODI # 399,Pakistan,West Indies,West Indies,89 runs,Multan,17-Nov-86,India,First,Second
ODI # 400,Pakistan,West Indies,Pakistan,11 runs,Hyderabad (Sind),18-Nov-86,Australia,First,Second
ODI # 401,India,Sri Lanka,India,7 wickets,Sharjah,27-Nov-86,Australia,First,Second
ODI # 402,Pakistan,West Indies,West Indies,9 wickets,Sharjah,28-Nov-86,Australia,First,Second
ODI # 403,India,West Indies,West Indies,33 runs,Sharjah,30-Nov-86,Australia,First,Second
ODI # 404,Pakistan,Sri Lanka,Pakistan,4 wickets,Sharjah,2-Dec-86,Australia,Second,First
ODI # 405,Sri Lanka,West Indies,West Indies,193 runs,Sharjah,3-Dec-86,Australia,First,Second
ODI # 406,India,Pakistan,Pakistan,3 wickets,Sharjah,5-Dec-86,India,First,Second
ODI # 407,India,Sri Lanka,Sri Lanka,117 runs,Kanpur,24-Dec-86,Australia,First,Second
ODI # 408,Pakistan,West Indies,Pakistan,34 runs,Perth,30-Dec-86,Australia,First,Second
ODI # 409,Australia,England,England,37 runs,Perth,1-Jan-87,Australia,First,Second
ODI # 410,Australia,Pakistan,Pakistan,1 wicket,Perth,2-Jan-87,Australia,First,Second
ODI # 411,England,West Indies,England,19 runs,Perth,3-Jan-87,Australia,Second,First
ODI # 412,Australia,West Indies,West Indies,164 runs,Perth,4-Jan-87,Australia,First,Second
ODI # 413,England,Pakistan,England,3 wickets,Perth,5-Jan-87,Australia,Second,First
ODI # 414,England,Pakistan,England,5 wickets,Perth,7-Jan-87,India,First,Second
ODI # 415,India,Sri Lanka,India,8 wickets,Guwahati,11-Jan-87,New Zealand,Second,First
ODI # 416,India,Sri Lanka,India,6 wickets,Delhi,13-Jan-87,New Zealand,First,Second
ODI # 417,India,Sri Lanka,India,94 runs,Vadodara,15-Jan-87,India,First,Second
ODI # 418,England,West Indies,England,6 wickets,Brisbane,17-Jan-87,India,Second,First
ODI # 419,India,Sri Lanka,India,10 runs,Mumbai,17-Jan-87,India,First,Second
ODI # 420,Australia,England,Australia,11 runs,Brisbane,18-Jan-87,New Zealand,First,Second
ODI # 421,Australia,West Indies,West Indies,7 wickets,Melbourne,20-Jan-87,U.A.E.,First,Second
ODI # 422,Australia,England,England,3 wickets,Sydney,22-Jan-87,U.A.E.,First,Second
ODI # 423,England,West Indies,England,89 runs,Adelaide,24-Jan-87,U.A.E.,First,Second
ODI # 424,Australia,West Indies,West Indies,16 runs,Adelaide,25-Jan-87,U.A.E.,Second,First
ODI # 425,Australia,England,Australia,33 runs,Adelaide,26-Jan-87,U.A.E.,Second,First
ODI # 426,India,Pakistan,Pakistan,3 wickets,Indore,27-Jan-87,U.A.E.,First,Second
ODI # 427,Australia,West Indies,Australia,36 runs,Sydney,28-Jan-87,England,Second,First
ODI # 428,England,West Indies,West Indies,6 wickets,Melbourne,30-Jan-87,England,First,Second
ODI # 429,Australia,England,Australia,109 runs,Melbourne,1-Feb-87,England,Second,First
ODI # 430,England,West Indies,England,29 runs,Devonport,3-Feb-87,India,First,Second
ODI # 431,Australia,West Indies,Australia,2 wickets,Sydney,6-Feb-87,India,Second,First
ODI # 432,Australia,England,England,6 wickets,Melbourne,8-Feb-87,Pakistan,Second,First
ODI # 433,Australia,England,England,8 runs,Sydney,11-Feb-87,India,First,Second
ODI # 434,India,Pakistan,Pakistan,2 wickets,Kolkata,18-Feb-87,Pakistan,First,Second
ODI # 435,New Zealand,West Indies,West Indies,95 runs,Dunedin,18-Mar-87,India,First,Second
ODI # 436,India,Pakistan,India,,Hyderabad (Deccan),20-Mar-87,Pakistan,Second,First
ODI # 437,New Zealand,West Indies,West Indies,6 wickets,Auckland,21-Mar-87,India,First,Second
ODI # 438,India,Pakistan,Pakistan,6 wickets,Pune,22-Mar-87,Pakistan,Second,First
ODI # 439,India,Pakistan,Pakistan,41 runs,Nagpur,24-Mar-87,India,Second,First
ODI # 440,India,Pakistan,Pakistan,5 wickets,Jamshedpur,26-Mar-87,Pakistan,First,Second
ODI # 441,New Zealand,West Indies,West Indies,10 wickets,Christchurch,28-Mar-87,India,First,Second
ODI # 442,England,India,India,3 wickets,Sharjah,2-Apr-87,Pakistan,Second,First
ODI # 443,Australia,Pakistan,Pakistan,6 wickets,Sharjah,3-Apr-87,India,Second,First
ODI # 444,Australia,India,India,7 wickets,Sharjah,5-Apr-87,India,First,Second
ODI # 445,England,Pakistan,England,5 wickets,Sharjah,7-Apr-87,India,Second,First
ODI # 446,Australia,England,England,11 runs,Sharjah,9-Apr-87,Pakistan,First,Second
ODI # 447,India,Pakistan,Pakistan,8 wickets,Sharjah,10-Apr-87,India,First,Second
ODI # 448,England,Pakistan,England,7 wickets,The Oval,21-May-87,India,Second,First
ODI # 449,England,Pakistan,Pakistan,6 wickets,Nottingham,23-May-87,India,First,Second
ODI # 450,England,Pakistan,England,1 wicket,Birmingham,25-May-87,India,First,Second
ODI # 451,Pakistan,Sri Lanka,Pakistan,15 runs,Hyderabad (Sind),8-Oct-87,India,Second,First
ODI # 453,India,Australia,Australia,1 run,Chennai,9-Oct-87,Pakistan,Second,First
ODI # 452,England,West Indies,England,2 wickets,Gujranwala,9-Oct-87,India,Second,First
ODI # 454,New Zealand,Zimbabwe,New Zealand,3 runs,Hyderabad (Deccan),10-Oct-87,Pakistan,Second,First
ODI # 455,Pakistan,England,Pakistan,18 runs,Rawalpindi,"Oct 12-13, 1987",India,Second,First
ODI # 456,Australia,Zimbabwe,Australia,96 runs,Chennai,13-Oct-87,India,First,Second
ODI # 457,Sri Lanka,West Indies,West Indies,191 runs,Karachi,13-Oct-87,Pakistan,First,Second
ODI # 458,India,New Zealand,India,16 runs,Bengaluru,14-Oct-87,Pakistan,Second,First
ODI # 459,Pakistan,West Indies,Pakistan,1 wicket,Lahore,16-Oct-87,Pakistan,Second,First
ODI # 461,India,Zimbabwe,India,8 wickets,Mumbai,17-Oct-87,India,Second,First
ODI # 460,England,Sri Lanka,England,108 runs,Peshawar,17-Oct-87,India,Second,First
ODI # 462,Australia,New Zealand,Australia,3 runs,Indore,"Oct 18-19, 1987",Australia,First,Second
ODI # 463,Pakistan,England,Pakistan,7 wickets,Karachi,20-Oct-87,India,First,Second
ODI # 464,Sri Lanka,West Indies,West Indies,25 runs,Kanpur,21-Oct-87,Australia,Second,First
ODI # 465,India,Australia,India,56 runs,Delhi,22-Oct-87,Australia,Second,First
ODI # 466,New Zealand,Zimbabwe,New Zealand,4 wickets,Kolkata,23-Oct-87,India,First,Second
ODI # 467,Pakistan,Sri Lanka,Pakistan,113 runs,Faisalabad,25-Oct-87,Australia,First,Second
ODI # 468,England,West Indies,England,34 runs,Jaipur,26-Oct-87,India,Second,First
ODI # 469,India,Zimbabwe,India,7 wickets,Ahmedabad,26-Oct-87,Australia,Second,First
ODI # 470,Australia,New Zealand,Australia,17 runs,Chandigarh,27-Oct-87,Australia,First,Second
ODI # 471,Australia,Zimbabwe,Australia,70 runs,Cuttack,30-Oct-87,Australia,First,Second
ODI # 472,England,Sri Lanka,England,8 wickets,Pune,30-Oct-87,Australia,First,Second
ODI # 473,Pakistan,West Indies,West Indies,28 runs,Karachi,30-Oct-87,Australia,Second,First
ODI # 474,India,New Zealand,India,9 wickets,Nagpur,31-Oct-87,Australia,Second,First
ODI # 475,Pakistan,Australia,Australia,18 runs,Lahore,4-Nov-87,Australia,Second,First
ODI # 476,India,England,England,35 runs,Mumbai,5-Nov-87,India,First,Second
ODI # 477,Australia,England,Australia,7 runs,Kolkata,8-Nov-87,Australia,First,Second
ODI # 478,Pakistan,England,England,2 wickets,Lahore,18-Nov-87,Australia,Second,First
ODI # 479,Pakistan,England,England,23 runs,Karachi,20-Nov-87,India,Second,First
ODI # 480,Pakistan,England,England,98 runs,Peshawar,22-Nov-87,Australia,Second,First
ODI # 481,India,West Indies,West Indies,10 runs,Nagpur,8-Dec-87,India,First,Second
ODI # 482,India,West Indies,West Indies,52 runs,Guwahati,23-Dec-87,Australia,First,Second
ODI # 484,Australia,Sri Lanka,Australia,81 runs,Perth,2-Jan-88,New Zealand,First,Second
ODI # 483,India,West Indies,India,56 runs,Kolkata,2-Jan-88,New Zealand,First,Second
ODI # 485,Australia,New Zealand,New Zealand,1 run,Perth,3-Jan-88,West Indies,First,Second
ODI # 486,New Zealand,Sri Lanka,New Zealand,6 wickets,Sydney,5-Jan-88,West Indies,Second,First
ODI # 487,India,West Indies,West Indies,6 wickets,Rajkot,5-Jan-88,New Zealand,Second,First
ODI # 488,Australia,New Zealand,Australia,6 runs,Melbourne,7-Jan-88,West Indies,First,Second
ODI # 489,India,West Indies,West Indies,2 runs,Ahmedabad,7-Jan-88,New Zealand,Second,First
ODI # 490,New Zealand,Sri Lanka,New Zealand,4 wickets,Adelaide,9-Jan-88,West Indies,Second,First
ODI # 491,Australia,Sri Lanka,Australia,81 runs,Adelaide,10-Jan-88,U.A.E.,First,Second
ODI # 492,New Zealand,Sri Lanka,Sri Lanka,4 wickets,Hobart,12-Jan-88,U.A.E.,First,Second
ODI # 493,Australia,Sri Lanka,Australia,38 runs,Melbourne,14-Jan-88,U.A.E.,First,Second
ODI # 494,New Zealand,Sri Lanka,New Zealand,4 wickets,Brisbane,16-Jan-88,West Indies,Second,First
ODI # 495,Australia,New Zealand,Australia,5 wickets,Brisbane,17-Jan-88,U.A.E.,First,Second
ODI # 496,Australia,Sri Lanka,Australia,3 wickets,Sydney,19-Jan-88,U.A.E.,First,Second
ODI # 497,India,West Indies,West Indies,4 wickets,Faridabad,19-Jan-88,England,Second,First
ODI # 498,Australia,New Zealand,Australia,78 runs,Sydney,20-Jan-88,England,First,Second
ODI # 499,Australia,New Zealand,Australia,8 wickets,Melbourne,22-Jan-88,England,Second,First
ODI # 500,India,West Indies,West Indies,73 runs,Gwalior,22-Jan-88,England,Second,First
ODI # 501,Australia,New Zealand,Australia,6 wickets,Sydney,24-Jan-88,U.A.E.,First,Second
ODI # 502,India,West Indies,West Indies,9 wickets,Thiruvananthapuram,25-Jan-88,U.A.E.,First,Second
